Nome EC,UF EC,Cidade EC,Logradouro EC,Desvio de Preço (%),Blacklist,Preço por Litro,Mercadoria
POSTO NATUREZA COHATRAC,MA,SAO LUIS,"Área AVENIDA V, QUAD 22, LOTE 1,","-1,95%",✅ Dentro da média,6.096370384290143,Gasolina Comum
POSTO SANTA INES,CE,MARACANAU,"Rua DR MENDEL STEINBRUCH, S/N","-2,03%",✅ Dentro da média,5.758103238043625,Diesel S10
POSTO QA,MA,ALTO ALEGRE DO MARANHAO,"Área KM 407, S/N","-2,04%",✅ Dentro da média,5.757672344188549,Diesel S10
AUTO POSTO FLEXEIRA,SP,CARAGUATATUBA,"Rua AV.  JOSE HERCULANO 7167, S/","-2,05%",✅ Dentro da média,6.090000000000001,Gasolina Comum
Auto Posto Rodovia Real Ltda,MG,LIMA DUARTE,"Área BR 267 KM 153, 0, S/N","-2,05%",✅ Dentro da média,6.090000000000001,Gasolina Comum
POSTO ABC,MG,SAO SEBASTIAO DO PARAISO,"Área ROD BR 491, 100 A, S/N","-2,05%",✅ Dentro da média,6.090000000000001,Gasolina Comum
POSTO CACIQUE 46,PI,TERESINA,R.PROF LIDIA CUNHA 2195,"-2,05%",✅ Dentro da média,6.090000000000001,Gasolina Comum
POSTO ESTRELA,CE,TRAIRI,"Rua AV MIGUEL PINTO FERREIRA 99,","-2,05%",✅ Dentro da média,6.090000000000001,Gasolina Comum
POSTO LAWANDA,MA,IMPERATRIZ,"Rua PEDRO NEIVA DE SANTANA, S/N","-2,05%",✅ Dentro da média,6.090000000000001,Gasolina Comum
POSTO UNIAO,RJ,SANTO ANTONIO DE PADUA,"Rua JOSE DE ALENCAR LEITE, 37","-2,05%",✅ Dentro da média,6.090000000000001,Gasolina Comum
A. SOARES BARRETO COMBUSTIVEIS,CE,PARAMBU,Rua AV SALUSTRINA HENRIQUE SILVA,"-2,05%",✅ Dentro da média,6.09,Gasolina Comum
AUTO POSTO GUIMARAES,MA,IMPERATRIZ,"Rua ROD.  BR-010 KM 1350, S/N","-2,05%",✅ Dentro da média,6.09,Gasolina Comum
POSTO BATATEIRAS,CE,CRATO,Rua AV JOAQUIM P BEZERRA MENEZES,"-2,05%",✅ Dentro da média,6.09,Gasolina Comum
POSTO CACIQUE 44,PI,TERESINA,AV :CAJUINA 1675 BAIRRO NOIVOS,"-2,05%",✅ Dentro da média,6.09,Gasolina Comum
POSTO DOM PEDRO RUSSAS,CE,RUSSAS,"Área ROD SANTOS DUMONT,157, S/N","-2,05%",✅ Dentro da média,6.09,Gasolina Comum
POSTO IGUABA GRANDE,RJ,IGUABA GRANDE,Rua ROD AMARAL PEIXOTO SN KM 95,"-2,05%",✅ Dentro da média,6.09,Gasolina Comum
POSTO NATUREZA MAIOBA,MA,SAO JOSE DE RIBAMAR,"Área EST DA MAIOBA MA, 202, S/N","-2,05%",✅ Dentro da média,6.09,Gasolina Comum
REDE RPB,SE,ESTANCIA,"AV. RUBENS ALVES DA SILVA, 1758","-2,05%",✅ Dentro da média,6.09,Gasolina Comum
AUTO POSTO SIENA,CE,CAMOCIM,"Rua ANTONIO ZEFERINO VERAS, 445","-2,05%",✅ Dentro da média,6.089999999999999,Gasolina Comum
POSTO RIBEIRAOZINHO-SHELL,MA,GOVERNADOR EDISON LOBAO,"Rua ROD BR 10 KM 1320, S/N","-2,05%",✅ Dentro da média,6.089999999999999,Gasolina Comum
POSTO CACIQUE 43,PI,TERESINA,Área AV: FREI SERAFIM 2500 CENTR,"-2,21%",✅ Dentro da média,6.0802545003103665,Gasolina Comum
POSTO NATUREZA RIO SAO JOAO,MA,SAO JOSE DE RIBAMAR,"Área EST DE RIBAMAR MA201, 2013,","-2,27%",✅ Dentro da média,6.076007712944333,Gasolina Comum
POSTO DE COMBUSTIVEIS SANTO ALEI,RJ,MAGE,Área OTHON LINCH BEZERRA DE MELL,"-2,29%",✅ Dentro da média,6.074800708591673,Gasolina Comum
POSTO NATUREZA MAIOBINHA,MA,SAO JOSE DE RIBAMAR,"Área ENT DA MATA 01, S/N","-2,33%",✅ Dentro da média,6.072647496281606,Gasolina Comum
ARCO IRIS ROSEIRA,SP,ROSEIRA,ROD PRESIDENTE DUTRA KM 82 0,"-2,34%",✅ Dentro da média,5.740000000000001,Diesel S10
POSTO QA,MA,ALTO ALEGRE DO MARANHAO,"Área KM 407, S/N","-2,43%",✅ Dentro da média,5.8,Diesel
POSTO NATUREZA COHAB,MA,SAO LUIS,Área AVENIDA JERONIMO DE ALBUQUE,"-2,43%",✅ Dentro da média,6.066375404530744,Gasolina Comum
POSTO IATE LTDA,ES,VITORIA,Rua AV.  SATURNINO DE BRITO 1394,"-2,49%",✅ Dentro da média,6.062363636363636,Gasolina Comum
POSTO 3D JAMAPARA,RJ,JAMAPARA,"Rua AV  COTRIL, S/N","-2,60%",✅ Dentro da média,5.79,Diesel
POSTO ABC,MG,SAO SEBASTIAO DO PARAISO,"Área ROD BR 491, 100 A, S/N","-2,66%",✅ Dentro da média,4.1945006632556385,Etanol
POSTO ABASTECA,PB,BAYEUX,Rua R FRANCISCO MARQUES FONSECA,"-2,66%",✅ Dentro da média,6.0517401743965635,Gasolina Comum
POSTO UNIVERSITARIO,RJ,VALENCA,"Rua R DA APARECIDA 593, S/N","-2,69%",✅ Dentro da média,6.05,Gasolina Comum
POSTO ABC,MG,SAO SEBASTIAO DO PARAISO,"Área AV ZEZE AMARAL, 335, S/N","-2,74%",✅ Dentro da média,4.191006909513017,Etanol
AUTO POSTO TROKAR,MS,CAMPO GRANDE,"Rua R JOSE ANTONIO PEREIRA 260,","-2,77%",✅ Dentro da média,4.190000000000001,Etanol
ITAJAO,MG,CARMO DO RIO CLARO,"Rua ROD MG 184 KM 6,5, S/N","-2,77%",✅ Dentro da média,4.190000000000001,Etanol
MACUCO AUTO POSTO,PR,CAMPO MOURAO,"Rua R. PION ALBERTO TANIGUT 34,","-2,77%",✅ Dentro da média,4.190000000000001,Etanol
POSTO JOAO PESSOA,MG,UBERLANDIA,"Rua AV.  JOAO PESSOA 875, S/N","-2,77%",✅ Dentro da média,4.190000000000001,Etanol
REDE FLOR CALMON,SP,POA,Rua AV. DR ADHEMAR DE BARROS 660,"-2,77%",✅ Dentro da média,4.190000000000001,Etanol
ALESAT AUTO POSTO PRAIA FLEIX,SP,CARAGUATATUBA,"Rua AV.  GASPAR DE SOUZA 450, S/","-2,77%",✅ Dentro da média,4.19,Etanol
AP FARIA LIMA,SP,SAO JOSE DOS CAMPOS,"Rua AV. BRG FARIA LIMA 899, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
ARCO IRIS ROSEIRA,SP,ROSEIRA,ROD PRESIDENTE DUTRA KM 82 0,"-2,77%",✅ Dentro da média,4.19,Etanol
ATHOS AUTO POSTO LTDA,SP,SAO BERNARDO DO CAMPO,"Rua AV ROBERT KENNEDY, 3644, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
AUTO POSTO FENIX JAPAO,SP,MOGI DAS CRUZES,"Rua AV.  JAPAO 1363, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
AUTO POSTO GUARDAMOR,SP,SAO SEBASTIAO,"Rua AV GUARDAMOR LOBO VIANA 375,","-2,77%",✅ Dentro da média,4.19,Etanol
AUTO POSTO IRMAOS BENTO,SP,GUARUJA,"Avenida SANTOS DUMONT, 2611","-2,77%",✅ Dentro da média,4.19,Etanol
AUTO POSTO PORTAL DO RIO REAL,SP,GUARULHOS,"Rua RUA  MACAMBAU, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
AUTO POSTO REFERENCIA,MS,CAMPO GRANDE,"Rua AVENIDA GUAICURUS, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
AUTOPOSTO PALMAS,MG,UBERLANDIA,"Rua AV GETULIO VARGAS 3030, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
CENTRO AUTOMOTIVO MOURISCO LTDA,SP,SAO PAULO,"Área AVENIDA REGENTE FEIJO 1111,","-2,77%",✅ Dentro da média,4.19,Etanol
CENTRO AUTOMOTIVOS MARINAS,SP,SAO VICENTE,"Rua AV CAP MOR AGUIAR 10, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
CENTRO AUTSELENE,SP,POA,"Rua R JOAO PEKNY 1210, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
DECIO AUTO POSTO,MG,UBERLANDIA,"Rua ANEL VIARIO AYRTON SENNA, S/","-2,77%",✅ Dentro da média,4.19,Etanol
DECIO UBERLANDIA,MG,CRUZEIRO DOS PEIXOTOS,"Rua ROD BR 050 KM 85,8, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
JEQUITIBA COMERCIO DE COMBUSTIV,PR,ROLANDIA,"Área AVENIDA GETULIO VARGAS, 699","-2,77%",✅ Dentro da média,4.19,Etanol
POSTO A ALVES PARA-SHELL,SP,ORLANDIA,R 4 397,"-2,77%",✅ Dentro da média,4.19,Etanol
POSTO ANDRADE,PR,CAMPO MOURAO,Rua R.  MIGUEL LUIZ PEREIRA 1496,"-2,77%",✅ Dentro da média,4.19,Etanol
POSTO BRILHANTE,MS,CAMPO GRANDE,"Rua AV BANDEIRANTES 1004, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
POSTO CAMPO VERDE,SP,MAUA,"Avenida BARAO DE MAUA, 2204","-2,77%",✅ Dentro da média,4.19,Etanol
POSTO COLONIAL -SHELL,SP,CAMPINAS,Rua R. GEN MARCONDES SALGADO 850,"-2,77%",✅ Dentro da média,4.19,Etanol
POSTO DE COMBUSTIVEIS R13 SANTA,DF,BRASILIA,"Rua QUADRA AC 219 CONJUNTO A, LO","-2,77%",✅ Dentro da média,4.19,Etanol
POSTO MONTECARLO,SP,RIBEIRAO PRETO,"Rua AV CARAMURU 1841, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
Posto Piloto,PR,MARIALVA,"Área R PADRE THEO HERMANN, 816,","-2,77%",✅ Dentro da média,4.19,Etanol
POSTO PINDA DUTRA LTDA,SP,PINDAMONHANGABA,"Área ROD PRESIDENTE DUTRA, KM 94","-2,77%",✅ Dentro da média,4.19,Etanol
POSTO QUALITY SUPRA LTDA,SP,SUZANO,"Estrada DOS FERNANDES, 2286","-2,77%",✅ Dentro da média,4.19,Etanol
POSTO ZZ UBERLANDIA,MG,UBERLANDIA,Rua AV.  PAULO ROBERTO CUNHA S 1,"-2,77%",✅ Dentro da média,4.19,Etanol
RA MAHLE,PR,DIAMANTE DO NORTE,"Rua ROD PR-182, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
REDE FLOR CALMON,SP,SAO PAULO,"Rua TIBURCIO DE SOUSA, 1285","-2,77%",✅ Dentro da média,4.19,Etanol
RODOPOSTO BANDEIRANTES 81 LTDA,SP,CAMPINAS,"Área Rodovia dos Bandeirantes, S","-2,77%",✅ Dentro da média,4.19,Etanol
TOPAZIO,SP,SAO PAULO,"Rua ROD ANHANGUERA KM 140, S/N","-2,77%",✅ Dentro da média,4.19,Etanol
VIELFE M AUTO POSTO-SHELL,SP,SAO PAULO,"Avenida SAPOPEMBA, 20020","-2,77%",✅ Dentro da média,4.19,Etanol
COCAMAR POSTO DE COMBUSTIVIES,PR,MARINGA,Rodovia ROD PR317 SAIDA PARA CAM,"-2,77%",✅ Dentro da média,4.1899999999999995,Etanol
KLL POSTO DE ABAST E-SHELL,SP,MAUA,"Rua AV. PAPA JOAO XXIII 2009, S/","-2,77%",✅ Dentro da média,4.1899999999999995,Etanol
TROKAR 4,MS,CAMPO GRANDE,"Área AVENIDA MARECHAL DEODORO, 6","-2,77%",✅ Dentro da média,4.1899999999999995,Etanol
POSTO TRIANGULO,PI,PARNAIBA,"Avenida NOSSA SENHORA DE FATIMA,","-2,92%",✅ Dentro da média,6.035884398976983,Gasolina Comum
POSTO BOAVENTURA,CE,FORTALEZA,"Rua AV.  GODOFREDO MACIEL, 6060,","-2,93%",✅ Dentro da média,5.77,Diesel
POSTO SANTA INES,CE,MARACANAU,"Rua DR MENDEL STEINBRUCH, S/N","-2,93%",✅ Dentro da média,5.77,Diesel
POSTO ZONA SUL,SP,RIBEIRAO PRETO,Rua AV.  CARLOS EDUARDO DE GAS 1,"-2,99%",✅ Dentro da média,4.180213068181819,Etanol
POSTO DON INACIO-BANDEIRA BRANCA,MG,GUAXUPE,AV DONA FLORIANA 1709,"-3,01%",✅ Dentro da média,4.179666241108882,Etanol
L CLEMENTINO II,MA,LORETO,"Área AV PRINCIPAL, 44, S/N","-3,02%",✅ Dentro da média,5.7,Diesel S10
POSTO MAIS BOA ESPERANCA,MA,TIMON,"Rua BR316 6563, S/N","-3,02%",✅ Dentro da média,5.7,Diesel S10
ALESAT POSTO SANTA INES,MG,SABARA,AVENIDA CONTAGEM 1980,"-3,04%",✅ Dentro da média,4.1782183821687955,Etanol
POSTO INDEPENDENCIA,CE,CRATO,"Rua PC JOAO BRIGIDO 1450, S/N","-3,08%",✅ Dentro da média,6.025566627189939,Gasolina Comum
POSTO NOSSA SENHORA DA CONCEICA,PI,PARNAIBA,Rua AV. DEP PINHEIRO MACHADO 670,"-3,09%",✅ Dentro da média,6.025511879049676,Gasolina Comum
CARONE COMBUSTIVEIS,MA,SAO LUIS,"Rua AV PRINCIPAL  02, S/N","-3,19%",✅ Dentro da média,6.019219909831961,Gasolina Comum
FIOPOSTO,CE,FORTALEZA,"Rua AV.  WASHINGTON SOARES 1010,","-3,19%",✅ Dentro da média,5.69,Diesel S10
POSTO MARIANA,CE,MORADA NOVA,"Rua ROD BR 116, 00.  KILOMETRO,","-3,19%",✅ Dentro da média,5.69,Diesel S10
POSTO VITORIA,RN,SAO JOSE DE MIPIBU,"Rua RODOVIA BR 101 KM 119 5, S/N","-3,19%",✅ Dentro da média,5.69,Diesel S10
POSTO MAIS 2 IRMAOS,PI,LAGOA DO PIAUI,"Área AV JOSE SOARES DA SILVA, 13","-3,19%",✅ Dentro da média,5.6899999999999995,Diesel S10
AUTO POSTO BOULEVAR,SP,SAO PAULO,"Área EST PRES JUSCELINO KUBI, S/","-3,23%",✅ Dentro da média,4.17,Etanol
POSTO DA MATINHA,MG,UBERLANDIA,"Rua RODOVIA BR 050, 00, S/N","-3,23%",✅ Dentro da média,4.17,Etanol
COMERCIAL DE PETROLEO CHAVES,CE,CAUCAIA,"Rua RODOVIA QUARTO ANEL VIARIO,","-3,27%",✅ Dentro da média,5.75,Diesel
POSTO DE GASOLINA RENA,RJ,MAGE,"Rua ROD.  SANTOS DUMONT 16886, S","-3,47%",✅ Dentro da média,6.001552698082356,Gasolina Comum
POSTO JOVEM,PI,PARNAIBA,"Rua DEP PINHEIRO MACHADO, S/N","-3,51%",✅ Dentro da média,5.999339450779297,Gasolina Comum
POSTO TAVARES,CE,SAO GONCALO DO AMARANTE,"Rua ROD BR 222 KM 63, S/N","-3,53%",✅ Dentro da média,5.670000000000001,Diesel S10
POSTO UMARITUBA,CE,SAO GONCALO DO AMARANTE,"Rua RODOVIA BR 222 KM 47, S/N","-3,53%",✅ Dentro da média,5.67,Diesel S10
AUTOPOSTO DOIS IRMAOS,RJ,SAO PEDRO DA ALDEIA,"Rua RODOVIA RJ106 SN KM 116, S/N","-3,59%",✅ Dentro da média,5.9943410342843055,Gasolina Comum
AUTO POSTO CAMPEAO,MA,VITORIA DO MEARIM,"Rua OUTROS BR, 222","-3,61%",✅ Dentro da média,5.993185702188809,Gasolina Comum
ANA C DE ARAUJO ANDRADA COMB,PE,SERRA TALHADA,Rua AV VICENTE INACIO DE OLIVEIR,"-3,63%",✅ Dentro da média,5.991804793531621,Gasolina Comum
AUTO POSTO VALE DO SO-SHELL,MA,IMPERATRIZ,Rua ROD.  BR-010 1343 S/N ZONA R,"-3,65%",✅ Dentro da média,5.990295927978447,Gasolina Comum
POSTO CAXUXA TAPAJOS,MG,UBERLANDIA,"Área ROD 050 S N, S/N","-3,66%",✅ Dentro da média,5.990000000000001,Gasolina Comum
POSTO ESTRELA REAL DA DUTRA LTD,RJ,SEROPEDICA,"Rodovia PRESIDENTE DUTRA, 3","-3,66%",✅ Dentro da média,5.990000000000001,Gasolina Comum
ALESAT POSTO FA RACING,RJ,GUAPIMIRIM,Rua RODOVIA SANTOS DUMONT N 315,"-3,66%",✅ Dentro da média,5.99,Gasolina Comum
AUTO POSTO INTERNACIO-SHELL,MA,SAO LUIS,Avenida JERONIMO DE ALBUQUERQUE,"-3,66%",✅ Dentro da média,5.99,Gasolina Comum
AUTO POSTO JARDIM BRASILIA,GO,AGUAS LINDAS DE GOIAS,"Rua .V JK, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
AUTO POSTO JATIENSE LTDA,CE,JATI,"Rua ROD BR 116, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
AUTO POSTO NUNES HAMMERS,RJ,ITABORAI,"Rua R 1 S/N LT 1, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
AUTO POSTO REAL BEIRA RIO,RJ,PORTO REAL,"Rua EST FLORIANO QUATIS SN, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
GERANIUS POSTO DE SERVICOS E ART,RJ,ITABORAI,"Rua RD GOV MARIO COVAS BR 101, S","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
MARAJO URUACU,GO,URUACU,"Área ROD BR 153, 190, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
P.CACIQUE 04,SP,SAO PAULO,"Rua AV MIGUEL ROSA 6185, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
PARAISO LUBRIFICANTES-SHELL,RJ,RESENDE,"Rua ROD. PRES DUTRA KM 305, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO ABAIARA,CE,ABAIARA,"Rodovia CE 293/3, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO ANHANGUERA,SP,SANTA RITA DO PASSA QUATRO,"Rua ROD ANHANGUERA KM 236, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO AUTO CAR,PI,PARNAIBA,"Rua AV PRCA ISABEL SN, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO BARRO BRANCO II,RJ,ITABORAI,ROD BR 101 284,"-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO BRASIL,CE,OCARA,Rua RODOVIA CE 359  KM 22 PLACA,"-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO CARONE,MA,SAO LUIS,Rua AV.  JERONIMO DE ALBUQUERQ 1,"-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO CARRETEIRO,PE,POMBOS,"Rua ROD BR 232 KM 58,5, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO CORUJAO 3,PI,PIRIPIRI,"Rua RODOVIA  BR, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO CRISTO REI,PI,TERESINA,Rua AV BR DE CASTELO BRANCO 2041,"-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO FLORESTAL,RN,ACU,"Rua ROD BR 304 KM 110,2, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO HOMERO,PI,TERESINA,"Avenida DOUTOR NICANOR BARRETO,","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO KATIA LOCATELLI,MT,CAMPO GRANDE,"Rua AV FILITO MILLER 14, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO NATUREZA MUCAJUTUBA,MA,PACO DO LUMIAR,"ROD MA 254, 1","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO NATUREZA TURU III,MA,SAO LUIS,Área Avenida Sao Luis Rei de Fra,"-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO RESENDAO,RJ,RESENDE,"Rua ROD. PRES DUTRA KM304, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO SOL DA DUTRA,RJ,BARRA MANSA,"Rodovia PRESIDENTE DUTRA, 3","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
REDEMAIS 06,PE,TRINDADE,"Rua ROD BR 316 SN, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
REST E POSTO J ITATIAI,RJ,ITATIAIA,"Rua ROD PRES DUTRA KM 316, S/N","-3,66%",✅ Dentro da média,5.99,Gasolina Comum
POSTO RESENDE,RJ,RESENDE,"Rua AV SATURNINO BRAGA, 212, S/N","-3,66%",✅ Dentro da média,5.989999999999999,Gasolina Comum
POSTO RENAZA,RJ,MAGE,"Rua AV SANTOS DUMONT 1513, S/N","-3,66%",✅ Dentro da média,5.989999999999998,Gasolina Comum
POSTO CACHOEIRA 4,PE,PARNAMIRIM,"Rua ROD 316   KM 142, S/N","-3,69%",✅ Dentro da média,5.66058352402746,Diesel S10
AUTO POSTO SUCESSO,ES,VILA VELHA,Rua AV JOAO FRANCISCO GONCALVES,"-3,80%",✅ Dentro da média,5.981394544320309,Gasolina Comum
AUTO POSTO GUAIBA,BA,RIO REAL,"Rua RODOVIA BR 101 KM 07, S/N","-3,82%",✅ Dentro da média,5.98,Gasolina Comum
POSTO OPCAO,PB,JOAO PESSOA,"Rua RUA FENELON PINHEIRO DA CAM,","-3,82%",✅ Dentro da média,5.98,Gasolina Comum
POSTO CEARA 20,CE,CAUCAIA,Área Rodovia Presidente Juscelin,"-3,87%",✅ Dentro da média,5.65,Diesel S10
REDE MAIS 07,PE,CABROBO,"Área ROD BR 116, S/N","-3,87%",✅ Dentro da média,5.65,Diesel S10
AUTO POSTO BELEZURA LTDA,SP,SAO PAULO,"Área R ULISSES CRUZ, 296, S/N","-3,93%",✅ Dentro da média,4.14,Etanol
POSTO BANDEIRA LOCATELLI,MS,CAMPO GRANDE,Rua AV RITA VIEIRA DE ANDRADE 58,"-3,93%",✅ Dentro da média,4.14,Etanol
POSTO PICA PAU III - BR,SP,GUARUJA,"Rua R. PRF IDALINO PINEZ 981, S/","-3,94%",✅ Dentro da média,4.139321214465287,Etanol
POSTO BOA VISTA I,PI,ESPERANTINA,Rua AV.MINISTRO PETRONIO PORTELA,"-3,98%",✅ Dentro da média,5.97,Gasolina Comum
POSTO FREITAS,CE,ACARAU,Rua AV. VOLUNTARIO DA PATRIA 230,"-3,98%",✅ Dentro da média,5.97,Gasolina Comum
POSTO PICA PAU III - BR,SP,GUARUJA,"Rua R. PRF IDALINO PINEZ 981, S/","-3,98%",✅ Dentro da média,5.97,Gasolina Comum
POSTO BOA VISTA,PI,ESPERANTINA,Rua AV.MINISTRO PETRONIO PORTELA,"-3,98%",✅ Dentro da média,5.969999999999999,Gasolina Comum
POSTO OPCAO,PB,JOAO PESSOA,"Área R. DEP BARRETO SOBRINHO 09,","-4,14%",✅ Dentro da média,5.96,Gasolina Comum
POSTO OPCAO,PB,JOAO PESSOA,"Área VIA ACESSO OESTE 3600, S/N","-4,14%",✅ Dentro da média,5.96,Gasolina Comum
CUTUBA,RJ,TRES RIOS,"Rua RODOVIA BR-393, S/N","-4,28%",✅ Dentro da média,5.69,Diesel
FIOPOSTO,CE,FORTALEZA,"Rua AV.  WASHINGTON SOARES 1010,","-4,28%",✅ Dentro da média,5.69,Diesel
POSTO CLEMENTINO,PI,LAGOINHA DO PIAUI,Rodovia ROD BR ESQUINA COM BR PO,"-4,28%",✅ Dentro da média,5.69,Diesel
POSTO MENDES 4,CE,MARANGUAPE,"Rua MUNDICA PAULA SN, S/N","-4,45%",✅ Dentro da média,5.680000000000001,Diesel
POSTO SAO FRANCISCO,MA,ALTO ALEGRE DO MARANHAO,"Rua RODOVIA BR 316 SN KM 402, S/","-4,46%",✅ Dentro da média,5.940000000000001,Gasolina Comum
ARLINDO DA FONSECA LINS E CIA LT,PE,CARUARU,"Rua ROD BR 232 KM 117, S/N","-4,46%",✅ Dentro da média,5.94,Gasolina Comum
AUTO POSTO DF 180,GO,AGUAS LINDAS DE GOIAS,Área QUADRA 8 SN LT 16 17 E 18 S,"-4,46%",✅ Dentro da média,5.94,Gasolina Comum
MAR AZUL COMBUSTIVEIS LTDA,RN,MOSSORO,"Rua AVENIDA WILSON ROSADO, 271 K","-4,46%",✅ Dentro da média,5.94,Gasolina Comum
POSTO OPCAO,PB,JOAO PESSOA,"Área AV.  CRUZ DAS ARMAS 2198, S","-4,62%",✅ Dentro da média,5.93,Gasolina Comum
A POSTO SETE ESTRELA,SP,PRAIA GRANDE,"Área Rua dos Lírios, 408","-4,62%",✅ Dentro da média,4.11,Etanol
POSTO SANTANA,SP,IPUA,Rua AV SANTANA DOS OLHOS D AGUA,"-4,62%",✅ Dentro da média,4.11,Etanol
POSTO QA,MA,ALTO ALEGRE DO MARANHAO,"Área KM 407, S/N","-4,74%",✅ Dentro da média,3.65,Arla 32
POSTO DA GRUTA,SP,SAO JOSE DOS CAMPOS,Avenida DEPUTADO BENEDITO MATARA,"-4,86%",✅ Dentro da média,4.1,Etanol
PETROCAL BONANCA,PE,VITORIA DE SANTO ANTAO,"Rua BR 232 PE KM 37/38 SN, S/N","-4,94%",✅ Dentro da média,5.91,Gasolina Comum
UNIAO COMERCIO DE COMBUSTIVEL L,CE,FORTALEZA,"Rua AV BORGES DE MELO 1277, S/N","-5,06%",🔵 Abaixo da média,5.58,Diesel S10
UNIAO COMERCIO DE COMBUSTIVEL,CE,FORTALEZA,"Rua AV BORGES DE MELO 1277, S/N","-5,06%",🔵 Abaixo da média,5.579999999999999,Diesel S10
AUTO POSTO AERO RANCHO,MS,CAMPO GRANDE,"Rua AV THIRSON DE ALMEIDA 760, S","-5,09%",🔵 Abaixo da média,4.090000000000001,Etanol
PORTO SEGURO COMBUSTIVEIS E CONV,SP,SAO PAULO,Rua AV.VALDEMAR CARLOS PEREIRA 9,"-5,09%",🔵 Abaixo da média,4.090000000000001,Etanol
POSTO BANDEIRA LOCATELLI,MS,CAMPO GRANDE,Rua AV RITA VIEIRA DE ANDRADE 58,"-5,09%",🔵 Abaixo da média,4.090000000000001,Etanol
......,SP,CARAGUATATUBA,"Área Avenida Miguel Varlez, 401,","-5,09%",🔵 Abaixo da média,4.09,Etanol
AP FARIA LIMA,SP,SAO JOSE DOS CAMPOS,"Rua AV. BRG FARIA LIMA 899, S/N","-5,09%",🔵 Abaixo da média,4.09,Etanol
ASAS DE CUMBICA,SP,GUARULHOS,"Rua AVENIDA  NATALIA ZARIF, S/N","-5,09%",🔵 Abaixo da média,4.09,Etanol
ATLANTICO CENTRO AUTOMOTIVO LTD,SP,RIBEIRAO PRETO,"Rua AV D PEDRO I 1660, S/N","-5,09%",🔵 Abaixo da média,4.09,Etanol
AUTO POSTO ESPIGAO LTDA,PR,CIANORTE,AV AMERICA 1480,"-5,09%",🔵 Abaixo da média,4.09,Etanol
AUTO POSTO FEVEREIRO LTDA,SP,SAO BERNARDO DO CAMPO,"Rua R. M.M.D.C. 309, S/N","-5,09%",🔵 Abaixo da média,4.09,Etanol
AUTO POSTO IPE S. J. DOS CAMPOS,SP,SAO JOSE DOS CAMPOS,"Rua AV.  GUADALUPE 659, S/N","-5,09%",🔵 Abaixo da média,4.09,Etanol
AUTO POSTO RODOANEL LE,SP,SUZANO,"Avenida MAJOR PINHEIRO FROES, 23","-5,09%",🔵 Abaixo da média,4.09,Etanol
AUTO POSTO SANTA RITA,SP,SAO JOSE DA BELA VISTA,"Rua R PE MODESTO DA COSTA 293, S","-5,09%",🔵 Abaixo da média,4.09,Etanol
AUTO SERVICE SUZANO,SP,SUZANO,"Rua PRUDENTE DE MORAIS 1971, S/N","-5,09%",🔵 Abaixo da média,4.09,Etanol
MAHLE GRANDE PARADA,PR,ARAPONGAS,"Rua RUA GUARATINGA, S/N","-5,09%",🔵 Abaixo da média,4.09,Etanol
